지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심적설(cm)
108,서울,2021-04-28,14.5,4.7,2.4,64.1,
108,서울,2021-04-29,14.6,3.9,2.3,54.1,
108,서울,2021-04-30,11.3,26.3,2.4,81.8,
108,서울,2021-05-01,10.2,8,2.7,80.8,
108,서울,2021-05-02,12.4,1.7,3.1,67.9,
108,서울,2021-05-03,14.1,,2.1,56.4,
108,서울,2021-05-04,13.8,19.6,2.1,82.6,
108,서울,2021-05-05,13.9,.1,3.5,64.4,
108,서울,2021-05-06,15.7,,2.4,46.4,
108,서울,2021-05-07,14.4,8.8,3.4,60.3,
108,서울,2021-05-08,14.3,,3.4,66.1,
108,서울,2021-05-09,15.7,,3.5,51.3,
108,서울,2021-05-10,13.2,0,1.8,67.9,
108,서울,2021-05-11,18.5,,2.7,48.9,
108,서울,2021-05-12,22,,2.2,39.5,
108,서울,2021-05-13,22.9,,1.9,54.4,
108,서울,2021-05-14,24.1,,1.7,60.3,
108,서울,2021-05-15,22.1,15,1.7,79.5,
108,서울,2021-05-16,18.4,66.9,2.5,97.6,
108,서울,2021-05-17,15.3,3.1,1.6,93,
108,서울,2021-05-18,17.9,,1.7,70.5,
108,서울,2021-05-19,19.9,,1.8,52.3,
108,서울,2021-05-20,18.7,.9,2.5,59.8,
108,서울,2021-05-21,16,6.9,1.7,86.5,
108,서울,2021-05-22,18.6,.2,2.5,69.3,
108,서울,2021-05-23,19.5,,1.7,64.4,
108,서울,2021-05-24,19.4,,2.7,61,
108,서울,2021-05-25,15.3,8.3,3.2,72.3,
108,서울,2021-05-26,18,0,2.9,58.5,
108,서울,2021-05-27,15.8,8.9,2.8,83,
108,서울,2021-05-28,15.3,12.3,2.6,86,
108,서울,2021-05-29,15.4,.3,2.2,79.8,
108,서울,2021-05-30,18.4,18.1,2.1,73,
108,서울,2021-05-31,19.9,4,1.8,78.9,
108,서울,2021-06-01,20.2,3.2,2.2,74.6,
108,서울,2021-06-02,23.2,,2.1,64.4,
108,서울,2021-06-03,19.1,18.1,1.8,80.8,
108,서울,2021-06-04,18.5,,2.9,69.4,
108,서울,2021-06-05,20.8,,3.3,68.1,
108,서울,2021-06-06,23,,2.2,69.6,
108,서울,2021-06-07,21.1,0,1.7,71.5,
108,서울,2021-06-08,23.6,.1,1.7,69.6,
108,서울,2021-06-09,25.8,,1.6,59.1,
108,서울,2021-06-10,24.9,6.1,2.2,68.5,
108,서울,2021-06-11,21.5,4.6,2.8,84.5,
108,서울,2021-06-12,24.2,,1.8,74.6,
108,서울,2021-06-13,24.8,,2,72.6,
108,서울,2021-06-14,24.8,,2.1,68.8,
108,서울,2021-06-15,22.5,1.9,2.3,79.1,
108,서울,2021-06-16,24.3,,3.6,59.9,
108,서울,2021-06-17,21.9,0,2.4,71.4,
108,서울,2021-06-18,20,6.3,2.5,92.1,
108,서울,2021-06-19,22.3,,1.8,74,
108,서울,2021-06-20,22.9,,2.8,73.3,
108,서울,2021-06-21,23.6,,2.2,67,
108,서울,2021-06-22,22.8,0,2.1,67.9,
108,서울,2021-06-23,22.4,7.5,2.4,70.5,
108,서울,2021-06-24,23,,1.9,71.1,
108,서울,2021-06-25,24.1,,2,69,
108,서울,2021-06-26,22.8,4.5,1.8,78.5,
108,서울,2021-06-27,24.5,38.2,2,72.1,
108,서울,2021-06-28,23.7,.1,1.9,76.4,
108,서울,2021-06-29,23.9,8,1.8,78.6,
108,서울,2021-06-30,24.3,6,1.3,77.9,
108,서울,2021-07-01,26.3,,1.8,70.9,
108,서울,2021-07-02,27.1,,2.3,64.1,
108,서울,2021-07-03,22.6,60,3.6,80,
108,서울,2021-07-04,21.4,21.4,2.3,96.8,
108,서울,2021-07-05,23.3,,1.4,80.3,
108,서울,2021-07-06,25.3,,1.6,73.4,
108,서울,2021-07-07,26.4,12.7,1.5,78.5,
108,서울,2021-07-08,26,2.9,2,81.6,
108,서울,2021-07-09,25.5,0,1.9,77.3,
108,서울,2021-07-10,25.9,.5,2.4,80.4,
108,서울,2021-07-11,25.7,.4,2.2,86.8,
108,서울,2021-07-12,28.1,,1.6,75.1,
108,서울,2021-07-13,28.8,,1.7,76.1,
108,서울,2021-07-14,29.7,,2.2,71.4,
108,서울,2021-07-15,29.1,0,2.1,71.1,
108,서울,2021-07-16,28.8,,2.2,68.4,
108,서울,2021-07-17,29.1,0,2.3,63.1,
108,서울,2021-07-18,29.6,,2.1,62.5,
108,서울,2021-07-19,26.4,67.4,1.9,80.1,
108,서울,2021-07-20,27.9,0,1.5,75.8,
108,서울,2021-07-21,30.5,,1.7,64,
108,서울,2021-07-22,31.2,,2,59.8,
108,서울,2021-07-23,31.2,,1.8,61.8,
108,서울,2021-07-24,31.7,,1.7,57.4,
108,서울,2021-07-25,31.5,,2,55.8,
108,서울,2021-07-26,31.2,,2.4,54.9,
